Предложение,Ссылка
Он носил плащ из абы.,https://ru.wiktionary.org/wiki/аба
"Тёплой одеждой арабских кочевников служит распашной шерстяной плащ — аба, часто с укороченными рукавами или совсем без рукавов.",https://ru.wiktionary.org/wiki/аба
"С начала 1960 г. иранские власти стали использовать своих лоцманов в абаданском порту, где до этого лоцманскую службу несли иракцы.  Ш. А. Ниязматов, «Ирано-иракский конфликт: исторический очерк», 1989 г.",https://ru.wiktionary.org/wiki/абаданский
"Абажур, сотворённый из плотно задрапированного натурального шёлка, рассеивал колючие «вольфрамовые» лучи, придавая освещению таинственность.  Ксения Яхонтова, «Смятение Анастасии», 1996–1998 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абажур
"Поднявшись на пять или шесть ступенек, хозяйка просунула руку внутрь абажура и попыталась вывернуть лампочку, но та была ввинчена слишком прочно, и абажур стал поворачиваться вместе со шнуром.  В. О. Пелевин, «Зигмунд в кафе», 1993 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абажур
"Князь в очках, с абажуром на глазах… сидел у открытого бюро.  Л. Н. Толстой, «Война и мир»",https://ru.wiktionary.org/wiki/абажур
"Сверху клетки свешивается жёлтая абажурная лампа.  В. В. Маяковский, «Клоп», 1928–1929 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/абажурный
"Лиза зажгла свечу, надела на неё лежавший на камине тёмненький бумажный абажурчик и, усевшись в уголке, развернула какую-то книгу.  Н. С. Лесков, «Некуда», 1864 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абажурчик
"Я требовал, во-первых, комнаты, где бы мог раздеться, во-вторых, — стакана вина, в-третьих, — абаза для моего провожатого.  А. С. Пушкин, «Путешествие в Арзрум во время похода 1829 года»",https://ru.wiktionary.org/wiki/абаз
"Эх вы, абаза немая!",https://ru.wiktionary.org/wiki/абаза
Абазины Карачаево-Черкесии решили напрямую выбирать главу своего муниципалитета.,https://ru.wiktionary.org/wiki/абазин
"Имел четыре жены, что разрешалось по Корану, и все четыре ― разных национальностей: карачаевка, абазинка, русская и черкешенка.  «Бокал боржома за успех!», Родина г. // «2008» [НКРЯ]",https://ru.wiktionary.org/wiki/абазинка
"Художественный фильм «Три брата» по мотивам народных абазинских сказок снимают в Карачаево-Черкесии.  «В Карачаево-Черкесии снимают первый в республике художественный фильм» // «ИА REGNUM», 20 Августа 2015 г.",https://ru.wiktionary.org/wiki/абазинский
Абазины Карачаево-Черкесии решили напрямую выбирать главу своего муниципалитета.,https://ru.wiktionary.org/wiki/абазины
"Первоначально абак представлял собой доску, разграфлённую на полосы или со сделанными углублениями.",https://ru.wiktionary.org/wiki/абак
"Под абаком имеются круглые части, иногда обработанные и украшенные довольно вычурно.",https://ru.wiktionary.org/wiki/абак
"Я больше люблю дорический. Он строже, лаконичнее. Ордер состоит из стилобата, колонны и антаблемента. Колонна из фуста, эхина и абака.  В. П. Некрасов, «В окопах Сталинграда», 1946 г.",https://ru.wiktionary.org/wiki/абак
"Отвечавшая следующему ряду кладки абака имела тот же самый профиль утрированного, вытянутого вверх гуська, что и капители внутренних пилястр и полуколонны алтарных абсид …  [П. Н. Максимов, «Собор Спасо-Андроникова монастыря в Москве», 1947 г. [НКРЯ]",https://ru.wiktionary.org/wiki/абака
"Недавно по абаканскому телевидению показывали сюжет о жительнице Хакасии, которая кормит своих детей кашей из комбикорма. Шока у абаканцев это не вызвало.  Максим Гликин, «В Хакасии переходят на конную тягу», 1997 г. // «Общая газета» [НКРЯ]",https://ru.wiktionary.org/wiki/абаканец
"Недавно по абаканскому телевидению показывали сюжет о жительнице Хакасии, которая кормит своих детей кашей из комбикорма. Шока у абаканцев это не вызвало.  Максим Гликин, «В Хакасии переходят на конную тягу», 1997 г. // «Общая газета» [НКРЯ]",https://ru.wiktionary.org/wiki/абаканцы
Молодая абатчанка.,https://ru.wiktionary.org/wiki/абатчанка
Замужние абатчанки.,https://ru.wiktionary.org/wiki/абатчанка
"После упорной борьбы алгоритмиков с абацистами — приверженцами римской нумерации и счета на абаке — только в XVII ст. во всех математических работах Европы стали использовать арабо-индусскую систему счисления, ныне применяемую во всем мире.  А. И. Королевич, «Книга об эсперанто», 1989 г.",https://ru.wiktionary.org/wiki/абацист
Молодая абашка.,https://ru.wiktionary.org/wiki/абашка
Замужние абашки.,https://ru.wiktionary.org/wiki/абашка
"В окошках виднелся отличный монастырский сад: хорошо здесь было жить аббату, не дурно жить и г. Кеттигеру.  К. Д. Ушинский, «Педагогическая поездка по Швейцарии», 1862–1863 гг. [НКРЯ]",https://ru.wiktionary.org/wiki/аббат
